step,w0,w1,f(w),g(w),corrupted
0,-2.0,3.0,10.0,-1.0,False
1,-1.0999999,2.7,4.8999996,-0.39999986,False
2,-0.4699999,2.49,2.4009995,0.01999998,False
3,-0.6199999,2.34,2.7399995,-0.27999997,False
4,-0.13399991,2.238,1.3425999,0.10400009,False
5,-0.28399992,2.0879998,1.6563997,-0.1960001,False
6,0.101200074,2.0616,0.8116358,0.16280007,False
7,-0.048799932,1.9116,1.107796,-0.13719988,False
8,0.26584008,1.93812,0.54282,0.20396018,False
9,0.11584008,1.78812,0.8266319,-0.09603989,False
10,0.38108808,1.851684,0.4050496,0.23277211,False
11,0.23108807,1.701684,0.68021804,-0.06722796,False
12,0.46176165,1.7911788,0.3333068,0.25294042,False
13,0.31176165,1.6411788,0.6024247,-0.047059536,False
14,0.5182332,1.7488252,0.29518804,0.26705837,False
15,0.36823317,1.5988252,0.5600705,-0.03294158,False
16,0.5577632,1.7191776,0.2744346,0.27694082,False
17,0.4077632,1.5691776,0.5363523,-0.02305913,False
18,0.58543426,1.6984243,0.2628126,0.28385854,False
19,0.43543425,1.5484244,0.52265507,-0.016141415,False
20,0.604804,1.683897,0.25610098,0.28870106,False
21,0.45480397,1.533897,0.5144907,-0.011299014,False
22,0.6183628,1.673728,0.25210038,0.2920909,False
23,0.46836278,1.523728,0.5094731,-0.007909179,False
24,0.62785393,1.6666096,0.24964184,0.29446363,False
25,0.47785392,1.5166097,0.5063028,-0.005536437,False
26,0.63449776,1.6616268,0.2480883,0.29612446,False
27,0.48449776,1.5116268,0.5042509,-0.0038753748,False
28,0.6391484,1.6581388,0.24708298,0.29728723,False
29,0.4891484,1.5081388,0.50289685,-0.0027128458,False
30,0.6424039,1.6556971,0.24641946,0.29810095,False
31,0.4924039,1.5056971,0.5019891,-0.001899004,False
32,0.64468277,1.653988,0.24597465,0.29867077,False
33,0.49468276,1.503988,0.50137335,-0.0013291836,False
34,0.6462779,1.6527916,0.24567297,0.2990694,False
35,0.4962779,1.5027916,0.50095206,-0.0009304285,False
36,0.64739454,1.6519542,0.2454665,0.29934883,False
37,0.49739453,1.5019542,0.50066185,-0.00065124035,False
38,0.6481762,1.6513679,0.24532433,0.2995441,False
39,0.4981762,1.5013679,0.5004611,-0.00045585632,False
40,0.64872336,1.6509576,0.24522588,0.29968095,False
0,-2.0,3.0,10.0,-1.0,True
1,-3.1059718,2.5343537,17.144539,-2.571618,True
2,-2.1779487,3.295125,11.776707,-0.8828237,True
3,-1.712131,4.401025,13.120575,0.6888938,True
4,-1.862131,4.2510247,13.258907,0.3888936,True
5,-2.012131,4.1010246,13.487238,0.08889365,True
6,-2.162131,3.9510245,13.80557,-0.21110654,True
7,-3.36131,3.9954047,23.002665,-1.3659053,True
8,-2.052917,3.3967834,11.271306,-0.65613365,True
9,-1.1370418,2.9777484,5.522939,-0.15929341,True
10,-0.49592924,2.684424,2.7062407,0.18849468,True
11,-0.6459292,2.5344238,2.9946918,-0.11150539,True
12,-0.15142265,3.6277962,3.9754944,1.4763734,True
13,-0.30142266,3.477796,3.877582,1.1763735,True
14,-0.45142266,3.327796,3.8696702,0.8763733,True
15,-0.60142267,3.177796,3.9517574,0.5763731,True
16,-0.75142264,3.0277958,4.1238456,0.27637315,True
17,-0.9014226,2.8777957,4.3859334,-0.023626924,True
18,-0.29263592,1.843688,1.6953411,-0.4489479,True
19,0.9065107,1.7984383,0.04936736,0.7049489,True
20,-0.101745605,2.449145,1.4155747,0.34739947,True
21,-0.2517456,2.299145,1.6563547,0.047399282,True
22,-0.40174562,2.149145,1.9871348,-0.25260067,True
23,0.018778056,2.1044014,0.9736961,0.123179436,True
24,-1.1146423,1.7102457,4.555669,-1.4043965,True
25,-0.48024958,1.7971721,2.232278,-0.6830776,True
26,-0.036174685,1.8580204,1.093816,-0.17815423,True
27,1.1635238,1.8849237,0.039982587,1.0484476,True
28,1.0135238,1.7349237,0.07044833,0.7484474,True
29,0.86352384,1.5849237,0.19091403,0.4484477,True
30,0.71352386,1.4349238,0.4013797,0.14844751,True
31,0.5635239,1.2849238,0.7018454,-0.15155232,True
32,-0.5352186,0.80246603,3.7909837,-1.7327526,True
33,0.3502906,1.6123264,0.57241315,-0.03738308,True
34,-0.5388394,0.80644315,3.7926044,-1.7323962,True
35,-0.07718757,1.1645103,1.8583761,-0.9126773,True
36,0.2459687,1.4151572,0.91060436,-0.3388741,True
37,-0.9030801,1.7611157,3.6787796,-1.1419644,True
38,-1.4011669,0.6693696,7.53618,-2.7317972,True
39,-1.8619428,1.7773794,8.240276,-2.0845633,True
40,-0.9827703,2.5941143,4.28435,-0.38865602,True
